指标名称,美元指数:月:平均值,期货结算价(连续):布伦特原油:月:平均值
2008-10,83.10365217,73.68434783
2008-11,86.35895,54.746
2008-12,83.00173913,43.05227273
2009-01,84.09238095,45.70761905
2009-02,86.54,43.8735
2009-03,86.40090909,47.41727273
2009-04,85.25772727,51.39190476
2009-05,82.03047619,58.5852381
2009-06,80.12045455,69.27090909
2009-07,79.55565217,65.75086957
2009-08,78.43761905,73.05714286
2009-09,77.06136364,68.14681818
2009-10,75.98409091,73.93363636
2009-11,75.27333333,77.58285714
2009-12,76.81086957,75.20909091
2010-01,77.822,77.013
2010-02,80.1775,74.79
2010-03,80.66478261,79.93130435
2010-04,81.22454545,85.75380952
2010-05,85.50619048,76.99761905
2010-06,86.59727273,75.65863636
2010-07,83.12272727,75.35636364
2010-08,82.15272727,77.115
2010-09,81.09863636,78.41727273
2010-10,77.44333333,83.53619048
2010-11,78.43772727,86.15954545
2010-12,80.04304348,92.25478261
2011-01,79.13666667,96.90714286
2011-02,77.762,104.032
2011-03,76.26,114.6717391
2011-04,74.69142857,123.0905
2011-05,74.93318182,114.5218182
2011-06,74.68818182,113.9018182
2011-07,74.69761905,116.7547619
2011-08,74.2226087,109.926087
2011-09,76.92727273,109.905
2011-10,77.19047619,108.7866667
2011-11,77.95318182,110.4913636
2011-12,79.61727273,107.7228571
2012-01,80.29590909,111.452381
2012-02,78.92238095,119.06
2012-03,79.53590909,124.5445455
2012-04,79.43285714,120.4865
2012-05,80.99434783,110.2886957
2012-06,82.23142857,95.92714286
2012-07,83.03363636,102.6422727
2012-08,82.16086957,112.6782609
2012-09,79.8815,113.034
2012-10,79.73565217,111.52
2012-11,80.67363636,109.5272727
2012-12,79.7547619,109.1965
2013-01,79.87363636,112.3231818
2013-02,80.597,116.0725
2013-03,82.63714286,109.542
2013-04,82.51909091,103.425
2013-05,83.21391304,103.2765217
2013-06,81.8625,103.341
2013-07,82.80434783,107.4269565
2013-08,81.49363636,110.4490909
2013-09,81.22333333,111.2547619
2013-10,79.87869565,109.4404348
2013-11,80.8,107.9038095
2013-12,80.33681818,110.7019048
2014-01,80.82045455,107.1131818
2014-02,80.446,108.835
2014-03,79.87571429,107.7480952
2014-04,79.86590909,108.09
2014-05,79.96590909,109.2390909
2014-06,80.42666667,111.9671429
2014-07,80.53652174,108.1852174
2014-08,81.86952381,103.3957143
2014-09,84.37590909,98.57
2014-10,85.65347826,88.04956522
2014-11,87.751,79.629
2014-12,89.12304348,63.26636364
2015-01,92.96812857,49.75809524
2015-02,94.43021,58.795
2015-03,97.84971364,56.93863636
2015-04,97.57814091,61.13571429
2015-05,95.2720381,65.60857143
2015-06,95.1879,63.75272727
2015-07,96.88874783,56.76434783
2015-08,96.3696619,48.20571429
2015-09,95.79938636,48.53954545
2015-10,95.71892727,49.29272727
2015-11,99.06494762,45.93238095
2015-12,98.34204783,38.90409091
2016-01,99.010535,31.9255
2016-02,97.08288095,33.52714286
2016-03,96.2698913,39.79
2016-04,94.41408095,43.33952381
2016-05,94.60215,47.64681818
2016-06,94.61972273,49.92727273
2016-07,96.51079048,46.5347619
2016-08,95.37806957,47.15913043
2016-09,95.46400909,47.24045455
2016-10,97.7008381,51.38761905
2016-11,99.75512273,47.07863636
2016-12,102.04485,54.91619048
2017-01,101.2286409,55.44761905
2017-02,100.704785,55.9845
2017-03,100.7738174,52.53869565
2017-04,100.035525,53.81894737
2017-05,98.21853913,51.39043478
2017-06,96.94484545,47.55363636
2017-07,94.92905238,49.14857143
2017-08,93.17673913,51.87
2017-09,92.33265714,55.51857143
2017-10,93.70890455,57.64909091
2017-11,93.96330455,62.86590909
2017-12,93.38667143,64.0725
2018-01,90.82164783,69.07863636
2018-02,89.714445,65.7305
2018-03,89.88410455,66.71952381
2018-04,90.29622381,71.76238095
2018-05,93.37297826,77.00652174
2018-06,94.37380476,75.94142857
2018-07,94.58264545,74.95181818
2018-08,95.4721087,73.84173913
2018-09,94.772745,79.1095
2018-10,95.87766087,80.62956522
2018-11,96.77179091,65.94909091
2018-12,96.89049524,57.6745
2019-01,95.96787826,60.24090909
2019-02,96.500655,64.4315
2019-03,96.78330952,67.02761905
2019-04,97.36364545,71.62857143
2019-05,97.75148696,70.30304348
2019-06,96.82816,63.038
2019-07,97.33868696,64.21478261
2019-08,98.01340455,59.50181818
2019-09,98.62467619,62.28714286
2019-10,98.17031304,59.63217391
2019-11,98.07660476,62.70952381
2019-12,97.39322273,65.17380952
2020-01,97.40721304,63.67272727
2020-02,98.87746,55.481
2020-03,98.78965455,33.72909091
2020-04,99.86659091,26.63714286
2020-05,99.58731905,32.41190476
2020-06,97.09618636,40.77272727
2020-07,95.59298261,43.22565217
2020-08,93.03312857,45.02
2020-09,93.40876364,41.87363636
2020-10,93.40591364,41.52409091
2020-11,92.6046619,43.97952381
2020-12,90.48021304,50.21818182
2021-01,90.241765,55.3215
2021-02,90.629355,62.2815
2021-03,92.03551304,65.70217391
2021-04,91.63838636,65.26571429
2021-05,90.30625238,68.30904762
2021-06,91.05734091,73.40818182
2021-07,92.51054091,74.29363636
2021-08,92.80605,70.51363636
2021-09,92.97563636,74.87636364
2021-10,93.96017619,83.74619048
2021-11,95.32676818,80.84954545
2021-12,96.20795217,74.80391304
2022-01,95.93826667,85.57238095
2022-02,96.005875,94.1015
2022-03,98.46375652,112.4630435
2022-04,100.6893714,105.917
2022-05,103.0849227,111.9595455
,,
数据来源：Wind,,
